feature,imp_A,imp_B,imp_ensemble
cbo1_k_lag1,0.04572918369654254,0.27293918210772833,0.15933418290213544
uf_n_lag2,0.2109248838095559,0.1051009844247768,0.15801293411716635
natureza_juridica_n_lag1,0.0,0.31588783119658304,0.15794391559829152
cnae3_k_lag3,0.31144807666399343,0.0,0.15572403833199672
natureza_juridica_k_lag3,0.0,0.3041446635850274,0.1520723317925137
cbo1_k_lag2,0.30048011126911695,0.0,0.15024005563455847
cbo2_k_lag1,0.20736074584795383,0.0827243182497532,0.1450425320488535
causa_afastamento_n_lag2,0.0764163971159586,0.20944521093847693,0.14293080402721775
cbo2_k_lag3,0.0,0.2834260201983108,0.1417130100991554
cbo1,0.1180705899405407,0.16350578224491766,0.1407881860927292
cbo1_n_lag3,0.0,0.27506583796270945,0.13753291898135472
faixa_horas_k_lag1,0.25126240150139156,0.019111272728973956,0.13518683711518276
uf_n_lag3,0.17251369461558375,0.09525219694185608,0.1338829457787199
cnae5_n_lag1,0.20041801302935858,0.06620331328762002,0.1333106631584893
cbo4_k_lag1,0.0,0.25579554371832214,0.12789777185916107
faixa_horas,0.03160648371817699,0.22397133872307362,0.1277889112206253
cnae_n_lag1,0.0,0.2396885648067133,0.11984428240335665
simples_n_lag1,0.0,0.23078049485253904,0.11539024742626952
cbo_k_lag1,0.22237505400268928,0.0,0.11118752700134464
faixa_horas_k_lag3,0.22213887040964295,0.0,0.11106943520482147
causa_afastamento_k_lag3,0.10054463345211653,0.11761624592550275,0.10908043968880965
simples_n_lag2,0.0674546550538486,0.13481483062947472,0.10113474284166166
natureza_setor_k_lag3,0.19593003145248783,0.0,0.09796501572624391
cbo_k_lag3,0.0697423375693716,0.10768529800478646,0.08871381778707904
cnae2_k_lag2,0.0,0.17539791451610476,0.08769895725805238
tamanho_estab_k_lag3,0.14668704525717008,0.0,0.07334352262858504
natureza_setor_k_lag1,0.0,0.14110183597763776,0.07055091798881888
cnae2_n_lag3,0.0,0.11952465743807549,0.05976232871903774
cbo4_n_lag2,0.0,0.1108480491596879,0.05542402457984395
cnae2_k_lag1,0.06933069443248857,0.038283139781908435,0.0538069171071985
cbo4_n_lag1,0.0,0.10731344763837283,0.05365672381918642
cbo2_n_lag3,0.0,0.09809713773579459,0.049048568867897296
uf_n_lag1,0.08813299889962373,0.0,0.04406649944981186
causa_afastamento_k_lag2,0.0,0.0791217339537113,0.03956086697685565
uf_k_lag2,0.0,0.07766809019028523,0.038834045095142614
causa_afastamento_k_lag1,0.07343640043915436,0.0,0.03671820021957718
cbo_n_lag2,0.07286931475643668,0.0,0.03643465737821834
natureza_setor_n_lag2,0.072541398423196,0.0,0.036270699211598
escolaridade_n_lag1,0.0,0.06819581640195993,0.034097908200979965
cbo1_k_lag3,0.019127980081396333,0.04770351756359394,0.03341574882249514
tamanho_estab_k_lag1,0.03356233860675056,0.029530671265084917,0.031546504935917735
intermitente_k_lag2,0.02018690736061864,0.03370656254763028,0.02694673495412446
intermitente_k_lag1,0.019012683690582424,0.028133723888863545,0.023573203789722982
tamanho_estab_k_lag2,0.0,0.04689953693749365,0.023449768468746825
natureza_juridica_n_lag2,0.0,0.04306481714439235,0.021532408572196175
intermitente_n_lag1,0.02140154275147799,0.018335513863974057,0.01986852830772602
cbo2_k_lag2,0.0,0.034077674113690476,0.017038837056845238
cnae_k_lag1,0.0,0.031149780695343667,0.015574890347671833
intermitente,0.0,0.013219656508973547,0.0066098282544867736
intermitente_n_lag3,0.0,0.010121971747820417,0.005060985873910209
cbo,0.0,0.0,0.0
cnae2_n_lag1,0.0,0.0,0.0
cnae5_k_lag1,0.0,0.0,0.0
cnae_k_lag3,0.0,0.0,0.0
cnae_n_lag3,0.0,0.0,0.0
cnae_n_lag2,0.0,0.0,0.0
cbo_k_lag2,0.0,0.0,0.0
cbo4_k_lag2,0.0,0.0,0.0
cbo_n_lag3,0.0,0.0,0.0
cbo4_n_lag3,0.0,0.0,0.0
cbo4_k_lag3,0.0,0.0,0.0
cbo_n_lag1,0.0,0.0,0.0
cnae2_n_lag2,0.0,0.0,0.0
cnae3_k_lag2,0.0,0.0,0.0
cnae5_k_lag3,0.0,0.0,0.0
cnae3_n_lag1,0.0,0.0,0.0
cnae3_n_lag2,0.0,0.0,0.0
cnae3_n_lag3,0.0,0.0,0.0
escolaridade_k_lag3,0.0,0.0,0.0
escolaridade_k_lag2,0.0,0.0,0.0
escolaridade_n_lag2,0.0,0.0,0.0
escolaridade_n_lag3,0.0,0.0,0.0
escolaridade_k_lag1,0.0,0.0,0.0
intermitente_n_lag2,0.0,0.0,0.0
natureza_juridica_n_lag3,0.0,0.0,0.0
natureza_setor_n_lag1,0.0,0.0,0.0
causa_afastamento_n_lag1,0.0,0.0,0.0
