categoria,mob,n_risco,eventos,censuras,S,S_lo,S_hi
7,9,16976674,285359,456054,0.8492061994739188,0.8490590720596205,0.8493533268882172
7,10,16235261,263215,463579,0.8354384004964631,0.8352845436679539,0.8355922573249723
7,11,15508467,248780,436210,0.822036665478069,0.8218765171234439,0.822196813832694
7,12,14823477,265313,14558164,0.8073237196673133,0.807156938629576,0.8074905007050506
8,0,25258215,0,0,1.0,1.0,1.0
8,1,25258215,308334,722225,0.9877927240701688,0.987749899103301,0.9878355490370366
8,2,24227656,592008,1645967,0.9636557958014443,0.9635820830992694,0.9637295085036193
8,3,21989681,648156,1415162,0.9352515963051677,0.935152809204955,0.9353503834053805
8,4,19926363,541065,1316432,0.9098565001225449,0.9097394928717082,0.9099735073733817
8,5,18068866,422842,582277,0.8885643204016472,0.8884336304265787,0.8886950103767157
8,6,17063747,416557,496741,0.866872854417444,0.8667297129622776,0.8670159958726104
8,7,16150449,372645,436782,0.8468711916256301,0.8467176208276675,0.8470247624235926
8,8,15341022,330076,399069,0.8286499899712018,0.828487629138453,0.8288123508039505
8,9,14611877,311196,339926,0.8110018423527213,0.8108315100645644,0.8111721746408782
8,10,13960755,287668,335136,0.7942907634758324,0.7941133311652704,0.7944681957863944
8,11,13337951,296274,289786,0.7766472962252751,0.7764627811635314,0.7768318112870187
8,12,12751891,278705,12473186,0.759672912998939,0.7594819717281702,0.7598638542697078
9,0,21101798,0,0,1.0,1.0,1.0
9,1,21101798,306250,559033,0.9854870186891184,0.9854359916800994,0.9855380456981373
9,2,20236515,501510,1051130,0.9610642564327329,0.9609809973259962,0.9611475155394695
9,3,18683875,640010,1032966,0.9281433160625199,0.9280304099060228,0.9282562222190169
9,4,17010899,535691,993904,0.8989151123605964,0.8987813551665161,0.8990488695546767
9,5,15481304,472517,567653,0.871478620437998,0.8713277935937029,0.871629447282293
9,6,14441134,458973,471173,0.8437809924775975,0.8436150324445135,0.8439469525106815
9,7,13510988,427916,414131,0.8170570114351272,0.8168780307271706,0.8172359921430838
9,8,12668941,366578,362869,0.7934153254301276,0.7932258657358218,0.7936047851244334
9,9,11939494,340435,300304,0.7707923946499114,0.7705936792052288,0.7709911100945941
9,10,11298755,313458,283614,0.7494085304593726,0.7492017072497184,0.7496153536690269
9,11,10701683,293827,227059,0.7288326583952042,0.7286185499268655,0.7290467668635429
9,12,10180797,274303,9906494,0.7091955921914699,0.708975001084286,0.7094161832986537
10,0,16305935,0,0,1.0,1.0,1.0
10,1,16305935,331077,508510,0.9796959205344558,0.9796274631156431,0.9797643779532684
10,2,15466348,483256,811005,0.9490846908004682,0.9489769208653488,0.9491924607355876
10,3,14172087,585620,858539,0.9098665448332179,0.9097239021722832,0.9100091874941527
10,4,12727928,481513,865342,0.8754451865726843,0.8752780586780566,0.875612314467312
10,5,11381073,456232,559854,0.840351297941935,0.840162375293019,0.840540220590851
10,6,10364987,452967,440928,0.8036265624092358,0.8034178070054845,0.8038353178129871
10,7,9471092,427363,380985,0.7673646130383609,0.7671387338830373,0.7675904921936845
10,8,8662744,354364,320764,0.7359742829380226,0.735735164525313,0.7362134013507322
10,9,7987616,318690,256866,0.7066103720753173,0.7063600020898506,0.706860742060784
10,10,7412060,288677,236400,0.6790900656585335,0.6788300971279128,0.6793500341891542
10,11,6886983,259290,167295,0.6535228088314727,0.6532546470466247,0.6537909706163207
10,12,6460398,217944,6242454,0.6314759666635495,0.6312013409284063,0.6317505923986928
11,0,13428412,0,0,1.0,1.0,1.0
11,1,13428412,601683,736156,0.9551932871883884,0.9550826347687014,0.9553039396080754
11,2,12090573,617769,612527,0.9063875935431754,0.9062292258664244,0.9065459612199265
11,3,10860277,597111,574129,0.8565533211421898,0.8563596785871085,0.8567469636972712
11,4,9689037,447921,514131,0.8169551422768051,0.8167384928029944,0.8171717917506158
11,5,8726985,432950,373180,0.7764255975544591,0.7761884317799835,0.7766627633289346
11,6,7920855,387081,282189,0.7384827748759758,0.738228857258623,0.7387366924933286
11,7,7251585,373157,256575,0.7004814252642159,0.7002128900092778,0.700749960519154
11,8,6621853,309594,220397,0.667731552022806,0.6674518870556213,0.6680112169899907
11,9,6091862,279856,178352,0.6370564183407078,0.6367674291000418,0.6373454075813738
11,10,5633654,252659,163471,0.6084856119685832,0.6081888854846276,0.6087823384525388
11,11,5217524,234326,122436,0.5811577071021848,0.5808543769011342,0.5814610373032355
11,12,4860762,175570,4685192,0.5601663772168849,0.55985852055989,0.5604742338738797
12,0,7993110,0,0,1.0,1.0,1.0
12,1,7993110,550578,585897,0.9311184257441721,0.9309428549922779,0.9312939964960664
12,2,6856635,554313,358154,0.8558437395563366,0.8555944659340967,0.8560930131785766
