arquivo,pop,mob,evento,n
2021/NORTE.parquet,privado,6,1,28
2021/NORTE.parquet,privado,7,0,2452
2021/NORTE.parquet,privado,7,1,25
2021/NORTE.parquet,privado,8,0,2532
2021/NORTE.parquet,privado,8,1,30
2021/NORTE.parquet,privado,9,0,1981
2021/NORTE.parquet,privado,9,1,22
2021/NORTE.parquet,privado,10,0,2250
2021/NORTE.parquet,privado,10,1,28
2021/NORTE.parquet,privado,11,0,2600
2021/NORTE.parquet,privado,11,1,10
2021/NORTE.parquet,privado,12,0,32721
2021/NORTE.parquet,privado,12,1,34
2021/NORTE.parquet,privado,1,1,7
2021/SP.parquet,geral,1,0,80171
2021/SP.parquet,geral,1,1,468
2021/SP.parquet,geral,2,0,56622
2021/SP.parquet,geral,2,1,496
2021/SP.parquet,geral,3,0,41171
2021/SP.parquet,geral,3,1,598
2021/SP.parquet,geral,4,0,42387
2021/SP.parquet,geral,4,1,551
2021/SP.parquet,geral,5,0,45939
2021/SP.parquet,geral,5,1,581
2021/SP.parquet,geral,6,0,33878
2021/SP.parquet,geral,6,1,545
2021/SP.parquet,geral,7,0,32649
2021/SP.parquet,geral,7,1,514
2021/SP.parquet,geral,8,0,33666
2021/SP.parquet,geral,8,1,467
2021/SP.parquet,geral,9,0,25922
2021/SP.parquet,geral,9,1,409
2021/SP.parquet,geral,10,0,31213
2021/SP.parquet,geral,10,1,459
2021/SP.parquet,geral,11,0,31727
2021/SP.parquet,geral,11,1,352
2021/SP.parquet,geral,12,0,1594485
2021/SP.parquet,geral,12,1,595
2021/SP.parquet,privado,1,0,58781
2021/SP.parquet,privado,1,1,233
2021/SP.parquet,privado,2,0,50225
2021/SP.parquet,privado,2,1,208
2021/SP.parquet,privado,3,0,33157
2021/SP.parquet,privado,3,1,309
2021/SP.parquet,privado,4,0,35918
2021/SP.parquet,privado,4,1,269
2021/SP.parquet,privado,5,0,39273
2021/SP.parquet,privado,5,1,273
2021/SP.parquet,privado,6,0,27664
2021/SP.parquet,privado,6,1,295
2021/SP.parquet,privado,7,0,26323
2021/SP.parquet,privado,7,1,223
2021/SP.parquet,privado,8,0,27432
2021/SP.parquet,privado,8,1,227
2021/SP.parquet,privado,9,0,19963
2021/SP.parquet,privado,9,1,186
2021/SP.parquet,privado,10,0,25447
2021/SP.parquet,privado,10,1,220
2021/SP.parquet,privado,11,0,26636
2021/SP.parquet,privado,11,1,165
2021/SP.parquet,privado,12,0,265061
2021/SP.parquet,privado,12,1,353
2021/SUL.parquet,geral,1,0,14778
2021/SUL.parquet,geral,1,1,251
2021/SUL.parquet,geral,2,0,19133
2021/SUL.parquet,geral,2,1,350
2021/SUL.parquet,geral,3,0,16751
2021/SUL.parquet,geral,3,1,585
2021/SUL.parquet,geral,4,0,20410
2021/SUL.parquet,geral,4,1,394
2021/SUL.parquet,geral,5,0,21943
2021/SUL.parquet,geral,5,1,409
2021/SUL.parquet,geral,6,0,17424
2021/SUL.parquet,geral,6,1,379
