categoria,mes,n_risco,eventos,censuras,S,S_lo,S_hi
8,1,6056380,17752,79169,0.9970688761273235,0.9970258205735667,0.9971119316810804
8,2,5959459,27357,92176,0.9924918141416273,0.9924227842675022,0.9925608440157525
8,3,5839926,48603,112214,0.9842317643323104,0.9841315941920356,0.9843319344725853
8,4,5679109,44285,102074,0.9765568449596665,0.9764345824392046,0.9766791074801285
8,5,5532750,51299,110676,0.9675023260333485,0.9673582607570848,0.9676463913096123
8,6,5370775,51027,108560,0.9583102185273548,0.9581469301003916,0.9584735069543179
8,7,5211188,54233,103451,0.9483370534676037,0.9481551654492655,0.9485189414859418
8,8,5053504,53595,110374,0.9382794529629644,0.9380805585421405,0.9384783473837884
8,9,4889535,52556,105067,0.928194196403819,0.9279795619710437,0.9284088308365942
8,10,4731912,51512,103528,0.9180897947485993,0.9178604440945703,0.9183191454026283
8,11,4576872,53745,105465,0.9073089085846945,0.9070648106825111,0.9075530064868779
8,12,4417662,72160,4345502,0.8924885328195337,0.892225558742885,0.8927515068961823
9,0,5475635,0,0,1.0,1.0,1.0
9,1,5475635,18449,68899,0.996630710410756,0.9965821731649954,0.9966792476565166
9,2,5388287,30385,81741,0.9910106266743421,0.9909312528088423,0.991090000539842
9,3,5276161,53790,99759,0.9809073599982849,0.9807916526276993,0.9810230673688706
9,4,5122612,47558,85560,0.9718006792216033,0.9716600465512353,0.9719413118919713
9,5,4989494,53741,92985,0.9613335776874501,0.9611689532518263,0.9614982021230739
9,6,4842768,53753,92006,0.9506631173636366,0.9504772415710755,0.9508489931561978
9,7,4697009,57505,89926,0.9390242462088239,0.938817732788505,0.9392307596291427
9,8,4549578,56116,94783,0.9274420105376794,0.927216905036813,0.9276671160385458
9,9,4398679,54675,89246,0.9159140286308052,0.9156718674607683,0.916156189800842
9,10,4254758,53238,89080,0.9044535810433638,0.9041956225302221,0.9047115395565055
9,11,4112440,55300,87402,0.8922913894900042,0.8920177062143857,0.8925650727656227
9,12,3969738,66998,3902740,0.8772320232262731,0.8769401675746635,0.8775238788778827
10,0,6056377,0,0,1.0,1.0,1.0
10,1,6056377,23597,70101,0.9961037762345376,0.9960541599934226,0.9961533924756526
10,2,5962679,42815,87535,0.9889512558356561,0.9888676866173686,0.9890348250539437
10,3,5832329,70685,107242,0.9769656460528844,0.9768451125948823,0.9770861795108865
10,4,5654402,61747,91006,0.9662970204852598,0.966151360886775,0.9664426800837446
10,5,5501649,69931,98192,0.9540144999283222,0.9538446093125339,0.9541843905441105
10,6,5333526,69839,94987,0.9415223102098331,0.9413310420218381,0.9417135783978281
10,7,5168700,72995,95977,0.9282256551449684,0.9280141584799968,0.9284371518099399
10,8,4999728,70720,99567,0.9150961172317355,0.9148665391862032,0.9153256952772677
10,9,4829441,69622,93839,0.9019039440850073,0.9016576479861961,0.9021502401838185
10,10,4665980,67317,94662,0.8888920006553375,0.8886303773694784,0.8891536239411966
10,11,4504001,70427,90186,0.8749928037124075,0.8747158632471014,0.8752697441777136
10,12,4343388,78450,4264938,0.8591887389014262,0.858895548815823,0.8594819289870295
11,0,5226744,0,0,1.0,1.0,1.0
11,1,5226744,24573,61019,0.9952986027247556,0.9952399577735191,0.995357247675992
11,2,5141152,43522,72981,0.9868729841498162,0.9867750329403668,0.9869709353592655
11,3,5024649,73255,91768,0.9724852367760405,0.9723437651530157,0.9726267083990653
11,4,4859626,62749,77169,0.9599282054072769,0.9597578251633044,0.9600985856512493
11,5,4719708,69539,82397,0.9457848627522193,0.9455872061377447,0.9459825193666939
11,6,4567772,68773,78474,0.9315449964966228,0.9313235088143466,0.9317664841788991
11,7,4420525,70712,80082,0.9166437325534782,0.9164000725438248,0.9168873925631316
11,8,4269731,69388,82599,0.9017472261191336,0.9014835176339575,0.9020109346043097
11,9,4117744,68354,78488,0.8867783426979818,0.8864961434027324,0.8870605419932313
11,10,3970902,66131,79691,0.8720100259324307,0.8717109192738632,0.8723091325909982
11,11,3825080,68141,75283,0.8564758056868249,0.8561601035645471,0.8567915078091027
11,12,3681656,73330,3608326,0.8394168053807086,0.8390841211855854,0.8397494895758318
12,0,4563023,0,0,1.0,1.0,1.0
12,1,4563023,27819,55923,0.9939033837874585,0.9938319594442687,0.9939748081306482
12,2,4479281,46409,64257,0.983605735093797,0.9834887601517499,0.9837227100358441
12,3,4368615,74117,80417,0.9669180878033062,0.9667525226192283,0.9670836529873842
12,4,4214081,62686,67086,0.9525348267193267,0.9523371098918902,0.9527325435467631
12,5,4084309,68037,71422,0.9366673661512103,0.9364398145665693,0.9368949177358512
12,6,3944850,66760,67142,0.9208158348219443,0.9205623465810292,0.9210693230628594
12,7,3810948,67979,68789,0.9043904887832785,0.9041130743697686,0.9046679031967885
12,8,3674180,67939,71575,0.8876674688393871,0.8873680362324019,0.8879669014463722
12,9,3534666,65976,68384,0.8710987891044001,0.8707793672927989,0.8714182109160012
12,10,3400306,63316,69532,0.8548783398474996,0.8545408016420026,0.8552158780529966
12,11,3267458,65753,63747,0.8376751147471333,0.8373196775115582,0.8380305519827084
12,12,3137958,69205,3068753,0.8192009011610766,0.8188276019226731,0.81957420039948
13,0,3982279,0,0,1.0,1.0,1.0
13,1,3982279,30232,55042,0.9924083671686489,0.9923231154710372,0.9924936188662605
13,2,3897005,49593,57367,0.979779051026382,0.9796401911556816,0.9799179108970824
13,3,3790045,74609,72298,0.9604915926405245,0.9602984403186625,0.9606847449623865
13,4,3643138,62137,59886,0.9441095434038763,0.9438807311925169,0.9443383556152357
13,5,3521115,66311,63198,0.9263297072063496,0.9260682292670808,0.9265911851456183
13,6,3391606,64386,58649,0.9087443318625779,0.9084546762723703,0.9090339874527854
13,7,3268571,64934,60549,0.8906910589047119,0.8903756245263255,0.8910064932830983
13,8,3143088,64373,62464,0.8724489811980511,0.872109986798347,0.8727879755977553
13,9,3016251,63163,59676,0.8541791173838618,0.8538185197477108,0.8545397150200127
13,10,2893412,60793,61085,0.8362321015136307,0.8358519042089841,0.8366122988182773
13,11,2771534,63469,55633,0.8170821234686316,0.8166825066071416,0.8174817403301217
13,12,2652432,65611,2586821,0.7968706438895509,0.7964520538038106,0.7972892339752912
14,0,3401530,0,0,1.0,1.0,1.0
14,1,3401530,34320,55704,0.989910422662743,0.9898042156108522,0.9900166297146338
14,2,3311506,51413,51560,0.9745415045450166,0.9743732558634347,0.9747097532265986
14,3,3208533,73612,63527,0.9521830157177028,0.9519538573839732,0.9524121740514324
14,4,3071394,59639,52530,0.9336939378350254,0.9334254492006713,0.9339624264693795
14,5,2959225,61578,54768,0.9142648625521371,0.9139612554838541,0.9145684696204202
14,6,2842879,59967,50278,0.8949795813239653,0.8946454361594988,0.8953137264884318
14,7,2732634,60390,52366,0.8752009293288008,0.8748388412594036,0.875563017398198
14,8,2619878,59248,53478,0.8554084410293942,0.8550210513391758,0.8557958307196125
14,9,2507152,57695,51947,0.8357236393080821,0.835313212004862,0.8361340666113023
14,10,2397510,56002,52588,0.8162024714094994,0.8157709586298925,0.8166339841891064
14,11,2288920,59221,47586,0.7950849458693573,0.7946323174361218,0.7955375743025928
14,12,2182113,60640,2121473,0.7729898705375492,0.7725168884565793,0.7734628526185191
15,0,3733386,0,0,1.0,1.0,1.0
15,1,3733386,51356,77441,0.9862441226275558,0.9861259706524598,0.9863622746026518
15,2,3604589,72045,63911,0.9665320395538122,0.9663484298203175,0.9667156492873068
15,3,3468633,91448,71546,0.9410501214745236,0.9408082195206137,0.9412920234284335
15,4,3305639,73388,59260,0.9201580076306427,0.9198782075131487,0.9204378077481367
15,5,3172991,75116,60453,0.8983745897447479,0.8980610317248577,0.8986881477646381
15,6,3037422,71674,55550,0.877175658432153,0.8768332380490831,0.8775180788152228
15,7,2910198,70962,58145,0.8557866879656546,0.8554182235868563,0.8561551523444529
15,8,2781091,70380,59213,0.8341296234902301,0.8337372782205478,0.8345219687599125
15,9,2651498,67944,56750,0.8127552520449489,0.8123413483509163,0.8131691557389815
15,10,2526804,66960,61814,0.7912173362917169,0.7907834408885717,0.7916512316948621
15,11,2398030,70059,53412,0.7681017391710547,0.7676480114116467,0.7685554669304627
15,12,2274559,74472,2200087,0.7429530959749244,0.7424796348959573,0.7434265570538916
16,0,3235597,0,0,1.0,1.0,1.0
16,1,3235597,65950,85307,0.9796173627308964,0.9794633923145271,0.9797713331472657
16,2,3084340,82229,58089,0.953500606432953,0.9532693576738015,0.9537318551921045
16,3,2944022,91185,64615,0.9239678947896335,0.9236749419987361,0.9242608475805308
16,4,2788222,70347,52813,0.9006561321341612,0.900323756673166,0.9009885075951564
16,5,2665062,71148,53110,0.8766117074682129,0.8762442345204482,0.8769791804159777
16,6,2540804,67761,49436,0.8532332469849353,0.8528356424760724,0.8536308514937982
16,7,2423607,65941,52442,0.8300186525645389,0.829594216528356,0.8304430886007218
16,8,2305224,65149,52751,0.8065611121277192,0.8061120719519788,0.8070101523034596
16,9,2187324,62735,49963,0.7834279999919165,0.7829567609354328,0.7838992390484002
16,10,2074626,63140,56147,0.7595848379378934,0.7590926071747789,0.760077068701008
16,11,1955339,65525,46208,0.734130532313201,0.7336176601390687,0.7346434044873333
16,12,1843606,71652,1771954,0.7055984485049982,0.7050646512716378,0.7061322457383586
17,0,1825210,0,0,1.0,1.0,1.0
17,1,1825210,58259,64052,0.9680809331528974,0.967825909431986,0.9683359568738089
17,2,1702899,59465,34801,0.9342756794708311,0.9339126039390948,0.9346387550025674
17,3,1608633,55231,37235,0.9021981452831989,0.9017599217526028,0.9026363688137949
17,4,1516167,41809,30346,0.8773196178807786,0.8768328966264836,0.8778063391350737
17,5,1444012,41851,30319,0.8518927493174091,0.8513626635557039,0.8524228350791143
17,6,1371842,39851,27893,0.8271458922062782,0.8265782449515968,0.8277135394609596
17,7,1304098,39097,29833,0.8023479683174378,0.8017464672341253,0.8029494694007503
17,8,1235168,38251,29771,0.7775006502715442,0.7768683317371238,0.7781329688059647
17,9,1167146,36039,27340,0.7534930745825249,0.7528334859873013,0.7541526631777485
17,10,1103767,37125,29830,0.7281494736288125,0.7274635355520989,0.7288354117055262
17,11,1036812,38741,25806,0.7009418036193471,0.7002299973797854,0.7016536098589088
17,12,972265,45022,927243,0.6684837784075476,0.6677444799515153,0.6692230768635798
18,0,2157072,0,0,1.0,1.0,1.0
18,1,2157072,110768,103765,0.948648909262185,0.94835436447377,0.9489434540506001
18,2,1942539,86278,40917,0.9065146043173048,0.9061212126436906,0.906907995990919
18,3,1815344,66408,41405,0.8733529435833043,0.8729002514597918,0.8738056357068168
18,4,1707531,48554,35818,0.8485189705410908,0.8480282064857626,0.849009734596419
18,5,1623159,49758,34276,0.82250758968673,0.8219813344087257,0.8230338449647343
18,6,1539125,46366,32355,0.7977296236973432,0.7971729859379961,0.7982862614566903
18,7,1460404,45923,34628,0.7726446900015623,0.7720601822616273,0.7732291977414973
18,8,1379853,44699,34222,0.747615614441789,0.7470057219971743,0.7482255068864038
18,9,1300932,41947,30166,0.7235096410481069,0.7228772879611293,0.7241419941350845
18,10,1228819,42644,33844,0.6984015127290824,0.6977477398388372,0.6990552856193275
18,11,1152331,46707,28831,0.670093466295343,0.6694176625754636,0.6707692700152225
18,12,1076793,57386,1019407,0.6343818823076829,0.6336817734941033,0.6350819911212625
19,0,1161498,0,0,1.0,1.0,1.0
19,1,1161498,97884,77687,0.9157260709876384,0.9152208559734226,0.9162312860018541
19,2,985927,59827,21607,0.8601589309772953,0.8595174938532967,0.860800368101294
19,3,904493,34827,21547,0.8270389896519934,0.8263342165242241,0.8277437627797627
19,4,848119,24647,19216,0.8030045912032466,0.8022591554075429,0.8037500269989504
19,5,804256,26291,18732,0.7767544995566509,0.7759687944192856,0.7775402046940162
19,6,759233,23508,16952,0.7527039843978292,0.7518846593060428,0.7535233094896155
19,7,718773,22840,17250,0.7287857807317949,0.7279357965935505,0.7296357648700393
19,8,678683,22953,17563,0.7041383090474638,0.7032592933837555,0.7050173247111721
19,9,638167,21241,15137,0.6807014941973114,0.6797969917261137,0.6816059966685091
19,10,601789,22167,16436,0.6556277390740509,0.6546982746555725,0.6565572034925293
19,11,563186,25219,14421,0.6262692749934301,0.6253134072799424,0.6272251427069178
19,12,523546,29641,493905,0.59081250981887,0.5898292167368778,0.5917958029008622
20,0,995568,0,0,1.0,1.0,1.0
20,1,995568,116833,83799,0.8826468910210051,0.8820146809574967,0.8832791010845136
20,2,794936,63463,20750,0.8121815709891207,0.811397357067951,0.8129657849102904
20,3,710723,32069,19867,0.7755345920675857,0.7746893903786637,0.7763797937565077
20,4,658787,22042,17573,0.749586397160349,0.7487027772822544,0.7504700170384436
20,5,619172,24123,17960,0.7203824398452587,0.7194595861293689,0.7213052935611486
20,6,577089,20240,15694,0.6951167692425129,0.694162893710578,0.6960706447744477
20,7,541155,19664,16398,0.6698582459906076,0.6688758683466826,0.6708406236345327
20,8,505093,19333,15396,0.6442186717543058,0.6432095982578174,0.6452277452507942
20,9,470364,17418,13762,0.6203626776207911,0.6193306483196425,0.6213947069219398
20,10,439184,18441,14087,0.5943141236251879,0.5932591673692335,0.5953690798811423
20,11,406656,20169,13207,0.5648378056576762,0.5637595864092356,0.5659160249061167
20,12,373280,23649,349631,0.5290527401143886,0.5279505802091375,0.5301549000196397
21,0,912606,0,0,1.0,1.0,1.0
21,1,912606,109091,67934,0.8804621052239411,0.879796491071545,0.8811277193763372
21,2,735581,60521,29511,0.808020800907682,0.8071968871180575,0.8088447146973066
21,3,645549,39978,27859,0.7579811360972845,0.7570739033030629,0.758888368891506
21,4,577712,28461,22933,0.7206391713908826,0.7196784866654353,0.7215998561163299
21,5,526318,27517,24265,0.6829626562818365,0.6819543162698081,0.6839709962938649
21,6,474536,24251,23352,0.6480600832895013,0.6470119443376199,0.6491082222413826
21,7,426933,23657,22039,0.6121500988414035,0.611064733252141,0.613235464430666
21,8,381237,22372,22570,0.5762275047299193,0.5751083981309436,0.5773466113288951
21,9,336295,20149,20159,0.541703030703237,0.5405539180082128,0.5428521433982612
21,10,295987,20438,19100,0.5042982577182317,0.5031196044700551,0.5054769109664082
21,11,256449,21430,17083,0.4621568897936084,0.46094920848988474,0.4633645710973321
21,12,217936,23244,194692,0.41286547054042105,0.41163149352502987,0.41409944755581224
22,0,248893,0,0,1.0,1.0,1.0
22,1,248893,23022,16369,0.9075024207189435,0.9063641677027823,0.9086406737351047
22,2,209502,16251,9189,0.837107761770086,0.8356302758711902,0.8385852476689817
22,3,184062,15919,8988,0.7647086872211948,0.7629832263335767,0.7664341481088128
22,4,159155,12159,7627,0.7062870672411595,0.7044067319072476,0.7081674025750715
22,5,139369,11200,7604,0.6495282819079722,0.6475266768778262,0.6515298869381182
22,6,120565,10409,7531,0.5934511460362011,0.591352366479669,0.5955499255927331
22,7,102625,10016,6879,0.5355314707261052,0.5333524525010703,0.53771048895114
22,8,85730,9357,7002,0.47708089366341805,0.47484085245147173,0.47932093487536437
22,9,69371,8339,6122,0.4197316040141519,0.4174475416743485,0.42201566635395527
22,10,54910,7851,5482,0.3597186223511559,0.35740732824726495,0.3620299164550469
22,11,41577,8328,5152,0.2876658843724555,0.2853568867890601,0.28997488195585086
22,12,28097,9224,18873,0.19322768394352963,0.19101397387325253,0.19544139401380672
23,0,497785,0,0,1.0,1.0,1.0
23,1,497785,50822,30731,0.8979037134505861,0.8970625991334085,0.8987448277677637
23,2,416232,40810,15854,0.8098675928593811,0.8087569250532428,0.8109782606655195
23,3,359568,39107,15589,0.721785527842606,0.7204974716016612,0.7230735840835507
23,4,304872,28097,12847,0.6552657819302438,0.6538813622977466,0.6566502015627409
23,5,263928,27412,14046,0.5872087905755112,0.5857524743157232,0.5886651068352993
23,6,222470,24780,12966,0.5218020668354062,0.5202973916643647,0.5233067420064477
23,7,184724,22822,11395,0.45733525814071774,0.4558015322678607,0.4588689840135748
23,8,150507,22044,12340,0.39035167312172203,0.3888085905757301,0.391894755667714
23,9,116123,19837,10260,0.32366887867345945,0.3221355520985096,0.3252022052484093
23,10,86026,18217,9367,0.25512825185372573,0.2536310318912189,0.2566254718162326
23,11,58442,18809,8607,0.1730176586310994,0.17161594795073165,0.17441936931146718
23,12,31026,19362,11664,0.06504473571434098,0.06397362524528626,0.06611584618339571
