K_categorias,n_cortes,IG_bits,IG_frac_%,monotonico_pooled,monotonico_por_ano,anos_quebra,min_n_categoria
72,71,0.10104666770503068,17.468271103433015,False,False,2021;2022;2023;2024,319722
73,72,0.10104782132815948,17.46847053407257,False,False,2021;2022;2023;2024,319722
74,73,0.10104884784238943,17.468647990977065,False,False,2021;2022;2023;2024,319722
75,74,0.10104986309499708,17.468823501047723,False,False,2021;2022;2023;2024,319722
76,75,0.1010508737817456,17.468998221803236,False,False,2021;2022;2023;2024,319722
77,76,0.10105181967576815,17.46916174162627,False,False,2021;2022;2023;2024,319722
78,77,0.10105270433540214,17.469314675658353,False,False,2021;2022;2023;2024,319722
79,78,0.10105349720943235,17.469451742410033,False,False,2021;2022;2023;2024,319722
80,79,0.10105426179410526,17.469583918687107,False,False,2021;2022;2023;2024,319722
81,80,0.10105500125015732,17.469711750896522,False,False,2021;2022;2023;2024,319722
82,81,0.10105570408435299,17.469833252164694,False,False,2021;2022;2023;2024,319722
83,82,0.10105639057824334,17.46995192863033,False,False,2021;2022;2023;2024,319722
84,83,0.10105706422916899,17.47006838489025,False,False,2021;2022;2023;2024,319722
85,84,0.10105765315793808,17.47017019495121,False,False,2021;2022;2023;2024,319722
86,85,0.10105825834942206,17.470274816401396,False,False,2021;2022;2023;2024,319722
87,86,0.10105884727819137,17.470376626462397,False,False,2021;2022;2023;2024,319722
88,87,0.10105942509849752,17.47047651616669,False,False,2021;2022;2023;2024,319722
89,88,0.10105994775962007,17.470566870320777,False,False,2021;2022;2023;2024,319722
90,89,0.10106041639903479,17.470647885563853,False,False,2021;2022;2023;2024,319722
91,90,0.10106086943801879,17.470726203908956,False,False,2021;2022;2023;2024,319722
92,91,0.10106131531714435,17.470803284505692,False,False,2021;2022;2023;2024,319722
93,92,0.10106176198680983,17.47088050176567,False,False,2021;2022;2023;2024,319722
94,93,0.1010622078659354,17.470957582362406,False,False,2021;2022;2023;2024,319722
95,94,0.10106264878944976,17.47103380626627,False,False,2021;2022;2023;2024,319722
96,95,0.10106308897725758,17.47110990298611,False,False,2021;2022;2023;2024,319722
97,96,0.10106352407362201,17.471185119531324,False,False,2021;2022;2023;2024,319722
98,97,0.1010639448021895,17.471257852268035,False,False,2021;2022;2023;2024,319722
99,98,0.1010643639803252,17.471330316976484,False,False,2021;2022;2023;2024,319722
100,99,0.10106477296411231,17.471401019354232,False,False,2021;2022;2023;2024,319722
