categoria,t,S_atual,S_mob,delta
10,1,0.9961037762345376,0.9921606597475685,-0.00394
10,2,0.988951255835656,0.9780389663484502,-0.01091
10,3,0.9769656460528844,0.9591298393181293,-0.01784
10,4,0.9662970204852598,0.944942753215756,-0.02135
10,5,0.9540144999283222,0.9284735106685755,-0.02554
10,6,0.9415223102098332,0.9123508355285374,-0.02917
10,7,0.9282256551449684,0.8969450029651989,-0.03128
10,8,0.9150961172317356,0.8823526163432884,-0.03274
10,9,0.9019039440850072,0.8681477039089829,-0.03376
10,10,0.8888920006553375,0.854295556123531,-0.0346
10,11,0.8749928037124075,0.8401247847505287,-0.03487
10,12,0.8591887389014262,0.827456928644706,-0.03173
11,0,1.0,1.0,0.0
11,1,0.9952986027247556,0.9920036259667586,-0.00329
11,2,0.9868729841498162,0.9762546017668932,-0.01062
11,3,0.9724852367760404,0.9544745689912802,-0.01801
11,4,0.9599282054072767,0.9383527392732276,-0.02158
11,5,0.9457848627522192,0.9197902060139654,-0.02599
11,6,0.9315449964966228,0.9012354827357525,-0.03031
11,7,0.9166437325534782,0.8834186345239179,-0.03323
11,8,0.9017472261191336,0.866659982689878,-0.03509
11,9,0.8867783426979818,0.8504353696013988,-0.03634
11,10,0.8720100259324307,0.8348362108663944,-0.03717
11,11,0.8564758056868249,0.8193182039764423,-0.03716
11,12,0.8394168053807086,0.8054812864623914,-0.03394
12,0,1.0,1.0,0.0
12,1,0.9939033837874583,0.9911317562940183,-0.00277
12,2,0.983605735093797,0.973249584132932,-0.01036
12,3,0.9669180878033062,0.9489908888577943,-0.01793
12,4,0.9525348267193268,0.9307891571671626,-0.02175
12,5,0.9366673661512104,0.9097999754823746,-0.02687
12,6,0.9208158348219444,0.8887218212605263,-0.03209
12,7,0.9043904887832784,0.8684754468081302,-0.03592
12,8,0.8876674688393871,0.8494240041837058,-0.03824
12,9,0.8710987891044001,0.8313466674286886,-0.03975
12,10,0.8548783398474996,0.8143775938135001,-0.0405
12,11,0.8376751147471333,0.7974231720425543,-0.04025
12,12,0.8192009011610766,0.7826477005225208,-0.03655
13,0,1.0,1.0,0.0
13,1,0.9924083671686488,0.9898738887958377,-0.00253
13,2,0.979779051026382,0.9694288824224145,-0.01035
13,3,0.9604915926405244,0.9422155156443203,-0.01828
13,4,0.9441095434038764,0.9214745208758033,-0.02264
13,5,0.9263297072063496,0.8981211161025403,-0.02821
13,6,0.908744331862578,0.8741978654825973,-0.03455
13,7,0.8906910589047119,0.8512343522665061,-0.03946
13,8,0.8724489811980511,0.8301763939726552,-0.04227
13,9,0.8541791173838618,0.8100301135726455,-0.04415
13,10,0.8362321015136307,0.7910480870481387,-0.04518
13,11,0.8170821234686316,0.7725119137729176,-0.04457
13,12,0.7968706438895509,0.7566480752187373,-0.04022
14,0,1.0,1.0,0.0
14,1,0.989910422662743,0.9877075904078458,-0.0022
14,2,0.9745415045450166,0.9643767940597778,-0.01016
14,3,0.9521830157177028,0.9336767758376788,-0.01851
14,4,0.9336939378350254,0.9102148018186834,-0.02348
14,5,0.9142648625521372,0.8849201415840937,-0.02934
14,6,0.8949795813239653,0.8581225506304152,-0.03686
14,7,0.8752009293288008,0.8321991020448454,-0.043
14,8,0.8554084410293942,0.8087194993550152,-0.04669
14,9,0.8357236393080821,0.7864281961651468,-0.0493
14,10,0.8162024714094994,0.7659810022560956,-0.05022
14,11,0.7950849458693573,0.7457837018468993,-0.0493
14,12,0.7729898705375492,0.7284970423929479,-0.04449
15,0,1.0,1.0,0.0
15,1,0.9862441226275558,0.9841762946558432,-0.00207
15,2,0.9665320395538122,0.9564678401509419,-0.01006
15,3,0.9410501214745236,0.9220176629322505,-0.01903
15,4,0.9201580076306428,0.8950705469744712,-0.02509
15,5,0.8983745897447479,0.8669250408888436,-0.03145
15,6,0.877175658432153,0.8367521945821984,-0.04042
15,7,0.8557866879656546,0.8077561861052468,-0.04803
15,8,0.8341296234902301,0.7809500108839602,-0.05318
15,9,0.8127552520449489,0.7558607306413506,-0.05689
15,10,0.7912173362917169,0.7330796357451973,-0.05814
15,11,0.7681017391710547,0.7116526993824184,-0.05645
15,12,0.7429530959749244,0.6927070182083377,-0.05025
16,0,1.0,1.0,0.0
16,1,0.9796173627308964,0.977707050661748,-0.00191
16,2,0.953500606432953,0.9433257498119213,-0.01017
16,3,0.9239678947896336,0.9040097758673474,-0.01996
16,4,0.9006561321341612,0.8728945428321331,-0.02776
16,5,0.8766117074682129,0.8419419233543722,-0.03467
16,6,0.8532332469849353,0.8084480787300469,-0.04479
16,7,0.8300186525645389,0.775686094520053,-0.05433
16,8,0.8065611121277192,0.7450678892367624,-0.06149
16,9,0.7834279999919165,0.7165333676699116,-0.06689
16,10,0.7595848379378934,0.6914878465967971,-0.0681
16,11,0.734130532313201,0.668441356618218,-0.06569
16,12,0.7055984485049982,0.6482241009719931,-0.05737
17,0,1.0,1.0,0.0
17,1,0.9680809331528974,0.9661337599509098,-0.00195
17,2,0.9342756794708312,0.9240714551177129,-0.0102
17,3,0.9021981452831987,0.8810334390097176,-0.02116
17,4,0.8773196178807786,0.8463661332194647,-0.03095
17,5,0.8518927493174091,0.8133696523672216,-0.03852
17,6,0.8271458922062782,0.7768639119004253,-0.05028
17,7,0.8023479683174378,0.740560501291054,-0.06179
17,8,0.7775006502715442,0.7067535513902413,-0.07075
17,9,0.7534930745825249,0.6768035138929696,-0.07669
17,10,0.7281494736288125,0.6505154028664797,-0.07763
17,11,0.7009418036193471,0.6273397912811084,-0.0736
17,12,0.6684837784075476,0.6060119321285775,-0.06247
18,0,1.0,1.0,0.0
18,1,0.948648909262185,0.9464046633584785,-0.00224
18,2,0.9065146043173048,0.8951091084463876,-0.01141
18,3,0.8733529435833043,0.8504914716369393,-0.02286
18,4,0.8485189705410908,0.8149345010564915,-0.03358
18,5,0.82250758968673,0.7797500628901276,-0.04276
18,6,0.7977296236973432,0.7410452913422624,-0.05668
18,7,0.7726446900015623,0.7028061550597132,-0.06984
18,8,0.747615614441789,0.6687087691987238,-0.07891
18,9,0.7235096410481069,0.6387716670953533,-0.08474
18,10,0.6984015127290824,0.6136950893476307,-0.08471
18,11,0.670093466295343,0.5923114844083189,-0.07778
18,12,0.6343818823076829,0.5730325513354566,-0.06135
19,0,1.0,1.0,0.0
19,1,0.9157260709876384,0.9131535310435317,-0.00257
19,2,0.8601589309772953,0.8480832197500204,-0.01208
19,3,0.8270389896519934,0.8019257714434751,-0.02511
19,4,0.8030045912032466,0.7671660337665748,-0.03584
19,5,0.7767544995566509,0.7316294043109289,-0.04513
19,6,0.7527039843978292,0.692701205112924,-0.06
19,7,0.7287857807317949,0.653777071881714,-0.07501
19,8,0.7041383090474638,0.6199223534513156,-0.08422
19,9,0.6807014941973114,0.5914583169061917,-0.08924
19,10,0.6556277390740509,0.5692718995179897,-0.08636
19,11,0.6262692749934301,0.5513046134122199,-0.07496
19,12,0.59081250981887,0.5371534970614513,-0.05366
20,0,1.0,1.0,0.0
20,1,0.8826468910210051,0.8810226925734856,-0.00162
20,2,0.8121815709891207,0.7994027578194784,-0.01278
20,3,0.7755345920675857,0.7496990113800732,-0.02584
20,4,0.749586397160349,0.7140232213529423,-0.03556
20,5,0.7203824398452587,0.6745951616844952,-0.04579
20,6,0.6951167692425129,0.6348344456475489,-0.06028
20,7,0.6698582459906076,0.5948740107201793,-0.07498
20,8,0.6442186717543058,0.5595862329595088,-0.08463
20,9,0.6203626776207911,0.5305684542548896,-0.08979
20,10,0.5943141236251879,0.5078923427657595,-0.08642
20,11,0.5648378056576762,0.49149703006671286,-0.07334
20,12,0.5290527401143886,0.47822749117388014,-0.05083
21,0,1.0,1.0,0.0
21,1,0.8804621052239411,0.8794496200989255,-0.00101
21,2,0.808020800907682,0.7965333428642172,-0.01149
21,3,0.7579811360972845,0.732779203274481,-0.0252
21,4,0.7206391713908826,0.6857393294264141,-0.0349
21,5,0.6829626562818365,0.6308382726286113,-0.05212
21,6,0.6480600832895013,0.5750691369499213,-0.07299
21,7,0.6121500988414035,0.5212072674211564,-0.09094
21,8,0.5762275047299193,0.47421991452894646,-0.10201
21,9,0.541703030703237,0.4326266574742873,-0.10908
21,10,0.5042982577182317,0.39884279368317127,-0.10546
21,11,0.4621568897936084,0.3699811311117563,-0.09218
21,12,0.412865470540421,0.3443673648549715,-0.0685
22,0,1.0,1.0,0.0
22,1,0.9075024207189436,0.9069118054746417,-0.00059
22,2,0.837107761770086,0.8288232556789958,-0.00828
22,3,0.7647086872211948,0.7451354880364492,-0.01957
22,4,0.7062870672411595,0.6764845272707153,-0.0298
22,5,0.6495282819079722,0.6038912835297591,-0.04564
22,6,0.5934511460362011,0.5265500180239754,-0.0669
22,7,0.5355314707261052,0.447924506367399,-0.08761
22,8,0.477080893663418,0.3744428719922117,-0.10264
22,9,0.4197316040141519,0.3067654217227102,-0.11297
22,10,0.3597186223511559,0.24664352654737412,-0.11308
22,11,0.2876658843724555,0.18923384920070369,-0.09843
22,12,0.1932276839435296,0.12859952599123667,-0.06463
23,0,1.0,1.0,0.0
23,1,0.8979037134505861,0.8974235864881425,-0.00048
23,2,0.8098675928593811,0.7954764100388476,-0.01439
23,3,0.721785527842606,0.6945999515466866,-0.02719
23,4,0.6552657819302438,0.6190820214616726,-0.03618
23,5,0.5872087905755112,0.5385122387954744,-0.0487
23,6,0.5218020668354062,0.45906640385682945,-0.06274
23,7,0.4573352581407177,0.3805510327364462,-0.07678
23,8,0.390351673121722,0.30399782289950855,-0.08635
23,9,0.3236688786734594,0.23316853767248535,-0.0905
23,10,0.2551282518537257,0.16773829466743306,-0.08739
23,11,0.1730176586310994,0.10102638839775065,-0.07199
23,12,0.0650447357143409,0.028022242676722205,-0.03702
